Database	Dataset	Metric	Measurement
KEGG	BRCA	Accuracy	0.8761904761904762
KEGG	BRCA	Accuracy	0.9142857142857143
KEGG	BRCA	Accuracy	0.9047619047619048
KEGG	BRCA	Accuracy	0.8952380952380953
KEGG	BRCA	Accuracy	0.8476190476190476
KEGG	BRCA	Accuracy	0.8666666666666667
KEGG	BRCA	Accuracy	0.9047619047619048
KEGG	BRCA	Accuracy	0.9142857142857143
KEGG	BRCA	Accuracy	0.8857142857142857
KEGG	BRCA	Accuracy	0.8857142857142857
Reactome	BRCA	Accuracy	0.8666666666666667
Reactome	BRCA	Accuracy	0.9238095238095239
Reactome	BRCA	Accuracy	0.9428571428571428
Reactome	BRCA	Accuracy	0.9333333333333333
Reactome	BRCA	Accuracy	0.9238095238095239
Reactome	BRCA	Accuracy	0.8952380952380953
Reactome	BRCA	Accuracy	0.8761904761904762
Reactome	BRCA	Accuracy	0.8857142857142857
Reactome	BRCA	Accuracy	0.9333333333333333
Reactome	BRCA	Accuracy	0.8857142857142857
WikiPathways	BRCA	Accuracy	0.8666666666666667
WikiPathways	BRCA	Accuracy	0.9047619047619048
WikiPathways	BRCA	Accuracy	0.9238095238095239
WikiPathways	BRCA	Accuracy	0.8952380952380953
WikiPathways	BRCA	Accuracy	0.9523809523809523
WikiPathways	BRCA	Accuracy	0.9142857142857143
WikiPathways	BRCA	Accuracy	0.9142857142857143
WikiPathways	BRCA	Accuracy	0.8952380952380953
WikiPathways	BRCA	Accuracy	0.9523809523809523
WikiPathways	BRCA	Accuracy	0.8761904761904762
Merged	BRCA	Accuracy	0.8857142857142857
Merged	BRCA	Accuracy	0.9523809523809523
Merged	BRCA	Accuracy	0.9142857142857143
Merged	BRCA	Accuracy	0.9523809523809523
Merged	BRCA	Accuracy	0.9047619047619048
Merged	BRCA	Accuracy	0.9333333333333333
Merged	BRCA	Accuracy	0.9142857142857143
Merged	BRCA	Accuracy	0.9142857142857143
Merged	BRCA	Accuracy	0.8952380952380953
Merged	BRCA	Accuracy	0.9428571428571428
MSigDB KEGG	BRCA	Accuracy	0.8857142857142857
MSigDB KEGG	BRCA	Accuracy	0.8761904761904762
MSigDB KEGG	BRCA	Accuracy	0.8952380952380953
MSigDB KEGG	BRCA	Accuracy	0.8571428571428571
MSigDB KEGG	BRCA	Accuracy	0.8761904761904762
MSigDB KEGG	BRCA	Accuracy	0.8761904761904762
MSigDB KEGG	BRCA	Accuracy	0.8476190476190476
MSigDB KEGG	BRCA	Accuracy	0.9142857142857143
MSigDB KEGG	BRCA	Accuracy	0.9047619047619048
MSigDB KEGG	BRCA	Accuracy	0.8476190476190476
MSigDB Reactome	BRCA	Accuracy	0.8952380952380953
MSigDB Reactome	BRCA	Accuracy	0.9047619047619048
MSigDB Reactome	BRCA	Accuracy	0.8095238095238095
MSigDB Reactome	BRCA	Accuracy	0.8857142857142857
MSigDB Reactome	BRCA	Accuracy	0.9238095238095239
