Database	Dataset	C-Index	L1-Ratio
MSigDB KEGG	prad	0.6181520850367948	0.11
MSigDB KEGG	prad	0.5931208053691275	0.98
MSigDB KEGG	prad	0.5131578947368421	0.19
MSigDB KEGG	prad	0.5271186440677966	0.13
MSigDB KEGG	prad	0.5747826086956521	0.19
MSigDB KEGG	prad	0.5412919051512673	0.29
MSigDB KEGG	prad	0.5322976287816844	0.11
MSigDB KEGG	prad	0.5776293823038398	0.73
MSigDB KEGG	prad	0.5374149659863946	0.13
MSigDB KEGG	prad	0.49829642248722317	0.19
MSigDB KEGG	lihc	0.553623188405797	0.07
MSigDB KEGG	lihc	0.6542443064182195	0.11
MSigDB KEGG	lihc	0.4607329842931937	0.01
MSigDB KEGG	lihc	0.5303867403314917	0.01
MSigDB KEGG	lihc	0.50853889943074	0.07
MSigDB KEGG	lihc	0.5621890547263682	0.07
MSigDB KEGG	lihc	0.5597269624573379	0.11
MSigDB KEGG	lihc	0.5699481865284974	0.01
MSigDB KEGG	lihc	0.5896805896805897	0.07
MSigDB KEGG	lihc	0.4090909090909091	0.29
MSigDB KEGG	brca	0.5263056835637481	0.41
MSigDB KEGG	brca	0.5373107097245028	0.31
MSigDB KEGG	brca	0.6018059490084986	0.17
MSigDB KEGG	brca	0.6234910902471738	0.23
MSigDB KEGG	brca	0.5805756804386136	0.49
MSigDB KEGG	brca	0.5743216673220606	0.19
MSigDB KEGG	brca	0.5787408596397361	0.31
MSigDB KEGG	brca	0.5132456641890604	0.29
MSigDB KEGG	brca	0.6017860397302716	0.19
MSigDB KEGG	brca	0.527632344386271	0.23
MSigDB KEGG	kirc	0.6590909090909091	0.11
MSigDB KEGG	kirc	0.5745721271393643	0.13
MSigDB KEGG	kirc	0.6198979591836735	0.13
MSigDB KEGG	kirc	0.5481682496607869	0.11
MSigDB KEGG	kirc	0.6610169491525424	0.47
MSigDB KEGG	kirc	0.5036649214659686	0.13
MSigDB KEGG	kirc	0.5191545574636723	0.17
MSigDB KEGG	kirc	0.6137387387387387	0.11
MSigDB KEGG	kirc	0.5597092419522326	0.11
MSigDB KEGG	kirc	0.685290763968073	0.17
MSigDB KEGG	ov	0.5427350427350427	0.07
MSigDB KEGG	ov	0.5652173913043478	0.77
MSigDB KEGG	ov	0.4507462686567164	0.11
MSigDB KEGG	ov	0.5241379310344828	0.07
MSigDB KEGG	ov	0.5129032258064516	0.07
MSigDB KEGG	ov	0.550185873605948	0.07
MSigDB KEGG	ov	0.6401673640167364	0.07
MSigDB KEGG	ov	0.6546052631578947	0.07
MSigDB KEGG	ov	0.6111111111111112	0.07
MSigDB KEGG	ov	0.4979919678714859	0.07
MSigDB Reactome	prad	0.5061224489795918	0.23
MSigDB Reactome	prad	0.5746938775510204	0.19
MSigDB Reactome	prad	0.44933554817275745	0.23
MSigDB Reactome	prad	0.514554794520548	0.23
MSigDB Reactome	prad	0.5122549019607843	0.29
MSigDB Reactome	prad	0.6137521222410866	0.17
MSigDB Reactome	prad	0.5751633986928104	0.17
MSigDB Reactome	prad	0.5232653061224489	0.17
MSigDB Reactome	prad	0.46453287197231835	0.17
MSigDB Reactome	prad	0.5804749340369393	0.19
MSigDB Reactome	lihc	0.48324022346368717	0.01
MSigDB Reactome	lihc	0.5146666666666667	0.01
MSigDB Reactome	lihc	0.5538057742782152	0.07
MSigDB Reactome	lihc	0.5186104218362283	0.01
MSigDB Reactome	lihc	0.413265306122449	0.97
MSigDB Reactome	lihc	0.5668789808917197	0.07
MSigDB Reactome	lihc	0.5644329896907216	0.01
MSigDB Reactome	lihc	0.5114678899082569	0.01
MSigDB Reactome	lihc	0.6053639846743295	0.07
MSigDB Reactome	lihc	0.4472934472934473	0.01
MSigDB Reactome	brca	0.5397192109472188	0.17
MSigDB Reactome	brca	0.5840413742149981	0.07
MSigDB Reactome	brca	0.49776742380120365	0.98
MSigDB Reactome	brca	0.5177843645794739	0.76
MSigDB Reactome	brca	0.5537558210164001	0.23
MSigDB Reactome	brca	0.5557006904273185	0.19
MSigDB Reactome	brca	0.5307735742518351	0.17
MSigDB Reactome	brca	0.5656967287185976	0.23
MSigDB Reactome	brca	0.529009009009009	0.13
MSigDB Reactome	brca	0.5572363041700736	0.94
MSigDB Reactome	kirc	0.5461767626613704	0.07
MSigDB Reactome	kirc	0.525062656641604	0.17
MSigDB Reactome	kirc	0.607741935483871	0.82
MSigDB Reactome	kirc	0.5253399258343634	0.11
MSigDB Reactome	kirc	0.6031927023945268	0.07
MSigDB Reactome	kirc	0.6873508353221957	0.07
MSigDB Reactome	kirc	0.5666199158485273	0.29
MSigDB Reactome	kirc	0.5794979079497908	0.97
MSigDB Reactome	kirc	0.5172043010752688	0.07
MSigDB Reactome	kirc	0.6261363636363636	0.98
MSigDB Reactome	ov	0.5427350427350427	0.07
MSigDB Reactome	ov	0.5652173913043478	0.77
MSigDB Reactome	ov	0.4507462686567164	0.11
MSigDB Reactome	ov	0.5241379310344828	0.07
MSigDB Reactome	ov	0.5129032258064516	0.07
MSigDB Reactome	ov	0.550185873605948	0.07
MSigDB Reactome	ov	0.6401673640167364	0.07
MSigDB Reactome	ov	0.6546052631578947	0.07
MSigDB Reactome	ov	0.6111111111111112	0.07
MSigDB Reactome	ov	0.4979919678714859	0.07
WikiPathways	prad	0.5326768128916741	0.19
WikiPathways	prad	0.530327868852459	0.17
WikiPathways	prad	0.5763265306122449	0.71
WikiPathways	prad	0.5379591836734694	0.17
WikiPathways	prad	0.4599673202614379	0.41
WikiPathways	prad	0.6024489795918367	0.31
WikiPathways	prad	0.5852649006622517	0.17
WikiPathways	prad	0.4918300653594771	0.11
WikiPathways	prad	0.578719723183391	0.13
WikiPathways	prad	0.551056338028169	0.17
WikiPathways	brca	0.5111657834973505	0.01
WikiPathways	brca	0.5663734115347019	0.01
WikiPathways	brca	0.6149845916795069	0.01
WikiPathways	brca	0.5709836966477376	0.07
WikiPathways	brca	0.5530091298677101	0.01
WikiPathways	brca	0.594702743902439	0.11
WikiPathways	brca	0.5696867379478522	0.07
WikiPathways	brca	0.5380776340110905	0.11
WikiPathways	brca	0.5197835013064577	0.19
WikiPathways	brca	0.541313949208686	0.01
WikiPathways	lihc	0.5033407572383074	0.94
WikiPathways	lihc	0.5313351498637602	0.07
WikiPathways	lihc	0.47835497835497837	0.59
WikiPathways	lihc	0.5026455026455027	0.07
WikiPathways	lihc	0.4943181818181818	0.98
WikiPathways	lihc	0.38421052631578945	0.01
WikiPathways	lihc	0.5463182897862233	0.07
WikiPathways	lihc	0.46218487394957986	0.92
WikiPathways	lihc	0.5236486486486487	0.94
WikiPathways	lihc	0.458252427184466	0.11
